track_uri,track,artist_uri,artist_info,artist_name,popularity,genre,album,track_popularity,features
spotify:track:2J0TRU2EDG29qlmxdGa4xa,SCIENTIST,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0'}, 'followers': {'href': None, 'total': 13868082}, 'genres': ['k-pop', 'k-pop girl group'], 'href': 'https://api.spotify.com/v1/artists/7n2Ycct7Beij7Dj7meI4X0', 'id': '7n2Ycct7Beij7Dj7meI4X0', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb464ef353e1a7c72f67de8158', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174464ef353e1a7c72f67de8158', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178464ef353e1a7c72f67de8158', 'width': 160}], 'name': 'TWICE', 'popularity': 79, 'type': 'artist', 'uri': 'spotify:artist:7n2Ycct7Beij7Dj7meI4X0'}",TWICE,79,"['k-pop', 'k-pop girl group']",Formula of Love: O+T=<3,61,"[{'danceability': 0.786, 'energy': 0.858, 'key': 11, 'loudness': -3.74, 'mode': 1, 'speechiness': 0.0675, 'acousticness': 0.0487, 'instrumentalness': 0, 'liveness': 0.126, 'valence': 0.649, 'tempo': 112.999, 'type': 'audio_features', 'id': '2J0TRU2EDG29qlmxdGa4xa', 'uri': 'spotify:track:2J0TRU2EDG29qlmxdGa4xa', 'track_href': 'https://api.spotify.com/v1/tracks/2J0TRU2EDG29qlmxdGa4xa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2J0TRU2EDG29qlmxdGa4xa', 'duration_ms': 194600, 'time_signature': 4}]"
spotify:track:7rXcCpIAoOUCydkVDMcoPV,INVU,spotify:artist:3qNVuliS40BLgXGxhdBdqu,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3qNVuliS40BLgXGxhdBdqu'}, 'followers': {'href': None, 'total': 2488004}, 'genres': ['k-pop'], 'href': 'https://api.spotify.com/v1/artists/3qNVuliS40BLgXGxhdBdqu', 'id': '3qNVuliS40BLgXGxhdBdqu', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebda0fb055a20233c3ae0c999c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174da0fb055a20233c3ae0c999c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178da0fb055a20233c3ae0c999c', 'width': 160}], 'name': 'TAEYEON', 'popularity': 67, 'type': 'artist', 'uri': 'spotify:artist:3qNVuliS40BLgXGxhdBdqu'}",TAEYEON,67,['k-pop'],INVU - The 3rd Album,75,"[{'danceability': 0.599, 'energy': 0.816, 'key': 11, 'loudness': -3.412, 'mode': 0, 'speechiness': 0.0556, 'acousticness': 0.0911, 'instrumentalness': 2.17e-06, 'liveness': 0.0961, 'valence': 0.399, 'tempo': 106.962, 'type': 'audio_features', 'id': '7rXcCpIAoOUCydkVDMcoPV', 'uri': 'spotify:track:7rXcCpIAoOUCydkVDMcoPV', 'track_href': 'https://api.spotify.com/v1/tracks/7rXcCpIAoOUCydkVDMcoPV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7rXcCpIAoOUCydkVDMcoPV', 'duration_ms': 204973, 'time_signature': 4}]"
spotify:track:15wj06fykqiNYvyj8AVMnK,DICE,spotify:artist:7sZ5ipSoboWdqXkdj6AXHo,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7sZ5ipSoboWdqXkdj6AXHo'}, 'followers': {'href': None, 'total': 388831}, 'genres': ['k-pop'], 'href': 'https://api.spotify.com/v1/artists/7sZ5ipSoboWdqXkdj6AXHo', 'id': '7sZ5ipSoboWdqXkdj6AXHo', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcdf599057fc4881950c71d18', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cdf599057fc4881950c71d18', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cdf599057fc4881950c71d18', 'width': 160}], 'name': 'ONEW', 'popularity': 50, 'type': 'artist', 'uri': 'spotify:artist:7sZ5ipSoboWdqXkdj6AXHo'}",ONEW,50,['k-pop'],DICE - The 2nd Mini Album,61,"[{'danceability': 0.756, 'energy': 0.691, 'key': 2, 'loudness': -4.456, 'mode': 1, 'speechiness': 0.0382, 'acousticness': 0.0429, 'instrumentalness': 0, 'liveness': 0.0851, 'valence': 0.549, 'tempo': 106.056, 'type': 'audio_features', 'id': '15wj06fykqiNYvyj8AVMnK', 'uri': 'spotify:track:15wj06fykqiNYvyj8AVMnK', 'track_href': 'https://api.spotify.com/v1/tracks/15wj06fykqiNYvyj8AVMnK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/15wj06fykqiNYvyj8AVMnK', 'duration_ms': 186907, 'time_signature': 4}]"
spotify:track:0IGUXY4JbK18bu9oD4mPIm,TOMBOY,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'followers': {'href': None, 'total': 3640334}, 'genres': ['k-pop', 'k-pop girl group'], 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc54e9b09db7f35f5bbb0efd4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c54e9b09db7f35f5bbb0efd4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c54e9b09db7f35f5bbb0efd4', 'width': 160}], 'name': '(G)I-DLE', 'popularity': 72, 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}",(G)I-DLE,72,"['k-pop', 'k-pop girl group']",I NEVER DIE,82,"[{'danceability': 0.755, 'energy': 0.87, 'key': 1, 'loudness': -2.414, 'mode': 0, 'speechiness': 0.0936, 'acousticness': 0.00988, 'instrumentalness': 0, 'liveness': 0.0917, 'valence': 0.645, 'tempo': 124.032, 'type': 'audio_features', 'id': '0IGUXY4JbK18bu9oD4mPIm', 'uri': 'spotify:track:0IGUXY4JbK18bu9oD4mPIm', 'track_href': 'https://api.spotify.com/v1/tracks/0IGUXY4JbK18bu9oD4mPIm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0IGUXY4JbK18bu9oD4mPIm', 'duration_ms': 174387, 'time_signature': 4}]"
spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,LOVE DIVE,spotify:artist:6RHTUrRF63xao58xh9FXYJ,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6RHTUrRF63xao58xh9FXYJ'}, 'followers': {'href': None, 'total': 744299}, 'genres': ['k-pop', 'k-pop girl group'], 'href': 'https://api.spotify.com/v1/artists/6RHTUrRF63xao58xh9FXYJ', 'id': '6RHTUrRF63xao58xh9FXYJ', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba011333f6f4e7043afef8b19', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a011333f6f4e7043afef8b19', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a011333f6f4e7043afef8b19', 'width': 160}], 'name': 'IVE', 'popularity': 70, 'type': 'artist', 'uri': 'spotify:artist:6RHTUrRF63xao58xh9FXYJ'}",IVE,70,"['k-pop', 'k-pop girl group']",LOVE DIVE,86,"[{'danceability': 0.703, 'energy': 0.709, 'key': 1, 'loudness': -4.169, 'mode': 0, 'speechiness': 0.0433, 'acousticness': 0.00379, 'instrumentalness': 5.43e-05, 'liveness': 0.333, 'valence': 0.538, 'tempo': 117.941, 'type': 'audio_features', 'id': '0Q5VnK2DYzRyfqQRJuUtvi', 'uri': 'spotify:track:0Q5VnK2DYzRyfqQRJuUtvi', 'track_href': 'https://api.spotify.com/v1/tracks/0Q5VnK2DYzRyfqQRJuUtvi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Q5VnK2DYzRyfqQRJuUtvi', 'duration_ms': 177187, 'time_signature': 4}]"
spotify:track:7CAdT0HdiQNlt1C7xk2hep,Stay Alive (Prod. SUGA of BTS),spotify:artist:6HaGTQPmzraVmaVxvz6EUc,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc'}, 'followers': {'href': None, 'total': 2881054}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc', 'id': '6HaGTQPmzraVmaVxvz6EUc', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb219729769002abab3f23ef21', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174219729769002abab3f23ef21', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178219729769002abab3f23ef21', 'width': 160}], 'name': 'Jung Kook', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:6HaGTQPmzraVmaVxvz6EUc'}",Jung Kook,62,[],Stay Alive (Prod. SUGA of BTS),82,"[{'danceability': 0.512, 'energy': 0.76, 'key': 2, 'loudness': -5.889, 'mode': 0, 'speechiness': 0.0682, 'acousticness': 0.299, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.495, 'tempo': 130.096, 'type': 'audio_features', 'id': '7CAdT0HdiQNlt1C7xk2hep', 'uri': 'spotify:track:7CAdT0HdiQNlt1C7xk2hep', 'track_href': 'https://api.spotify.com/v1/tracks/7CAdT0HdiQNlt1C7xk2hep', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7CAdT0HdiQNlt1C7xk2hep', 'duration_ms': 210928, 'time_signature': 4}]"
spotify:track:7JDiC68AKimlvMCmZQuA9n,HONEY,spotify:artist:5cYcI546S8Lf97m4mNdYLD,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5cYcI546S8Lf97m4mNdYLD'}, 'followers': {'href': None, 'total': 834072}, 'genres': ['k-pop'], 'href': 'https://api.spotify.com/v1/artists/5cYcI546S8Lf97m4mNdYLD', 'id': '5cYcI546S8Lf97m4mNdYLD', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb0b4c8d0a415cab50e033129', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b0b4c8d0a415cab50e033129', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b0b4c8d0a415cab50e033129', 'width': 160}], 'name': 'Solar', 'popularity': 54, 'type': 'artist', 'uri': 'spotify:artist:5cYcI546S8Lf97m4mNdYLD'}",Solar,54,['k-pop'],容 : FACE,69,"[{'danceability': 0.821, 'energy': 0.786, 'key': 6, 'loudness': -1.839, 'mode': 1, 'speechiness': 0.0578, 'acousticness': 0.138, 'instrumentalness': 3.55e-06, 'liveness': 0.0736, 'valence': 0.78, 'tempo': 115.003, 'type': 'audio_features', 'id': '7JDiC68AKimlvMCmZQuA9n', 'uri': 'spotify:track:7JDiC68AKimlvMCmZQuA9n', 'track_href': 'https://api.spotify.com/v1/tracks/7JDiC68AKimlvMCmZQuA9n', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7JDiC68AKimlvMCmZQuA9n', 'duration_ms': 167627, 'time_signature': 4}]"
spotify:track:5quFr5s5PXYfUX5jV2EBZ1,GANADARA (Feat. IU),spotify:artist:4XDi67ZENZcbfKnvMnTYsI,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI'}, 'followers': {'href': None, 'total': 1735325}, 'genres': ['k-pop', 'k-rap', 'korean r&b'], 'href': 'https://api.spotify.com/v1/artists/4XDi67ZENZcbfKnvMnTYsI', 'id': '4XDi67ZENZcbfKnvMnTYsI', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb94c15f56ef780bb899162e92', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517494c15f56ef780bb899162e92', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17894c15f56ef780bb899162e92', 'width': 160}], 'name': 'Jay Park', 'popularity': 66, 'type': 'artist', 'uri': 'spotify:artist:4XDi67ZENZcbfKnvMnTYsI'}",Jay Park,66,"['k-pop', 'k-rap', 'korean r&b']",GANADARA,73,"[{'danceability': 0.492, 'energy': 0.615, 'key': 2, 'loudness': -6.663, 'mode': 1, 'speechiness': 0.244, 'acousticness': 0.196, 'instrumentalness': 0, 'liveness': 0.0772, 'valence': 0.458, 'tempo': 90.081, 'type': 'audio_features', 'id': '5quFr5s5PXYfUX5jV2EBZ1', 'uri': 'spotify:track:5quFr5s5PXYfUX5jV2EBZ1', 'track_href': 'https://api.spotify.com/v1/tracks/5quFr5s5PXYfUX5jV2EBZ1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5quFr5s5PXYfUX5jV2EBZ1', 'duration_ms': 203728, 'time_signature': 4}]"
spotify:track:3xQH4yPHm6qVmV0JH7iaT5,Beautiful (Part.3),spotify:artist:2CvaqAMMsX576VBehaJ0Wx,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2CvaqAMMsX576VBehaJ0Wx'}, 'followers': {'href': None, 'total': 1749221}, 'genres': ['k-pop', 'k-pop boy group'], 'href': 'https://api.spotify.com/v1/artists/2CvaqAMMsX576VBehaJ0Wx', 'id': '2CvaqAMMsX576VBehaJ0Wx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27323bd8b27aeb3ad6d4f4339c4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0223bd8b27aeb3ad6d4f4339c4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485123bd8b27aeb3ad6d4f4339c4', 'width': 64}], 'name': 'Wanna One', 'popularity': 52, 'type': 'artist', 'uri': 'spotify:artist:2CvaqAMMsX576VBehaJ0Wx'}",Wanna One,52,"['k-pop', 'k-pop boy group']",B-Side,54,"[{'danceability': 0.56, 'energy': 0.693, 'key': 4, 'loudness': -4.172, 'mode': 1, 'speechiness': 0.0317, 'acousticness': 0.138, 'instrumentalness': 0, 'liveness': 0.267, 'valence': 0.36, 'tempo': 87.908, 'type': 'audio_features', 'id': '3xQH4yPHm6qVmV0JH7iaT5', 'uri': 'spotify:track:3xQH4yPHm6qVmV0JH7iaT5', 'track_href': 'https://api.spotify.com/v1/tracks/3xQH4yPHm6qVmV0JH7iaT5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3xQH4yPHm6qVmV0JH7iaT5', 'duration_ms': 234533, 'time_signature': 4}]"
spotify:track:5elW2CKSoqjYoJ32AGDxf1,Polaroid Love,spotify:artist:5t5FqBwTcgKTaWmfEbwQY9,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5t5FqBwTcgKTaWmfEbwQY9'}, 'followers': {'href': None, 'total': 3854992}, 'genres': ['anime', 'k-pop boy group'], 'href': 'https://api.spotify.com/v1/artists/5t5FqBwTcgKTaWmfEbwQY9', 'id': '5t5FqBwTcgKTaWmfEbwQY9', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4e9b1eebd4c0709b22e35edd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744e9b1eebd4c0709b22e35edd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784e9b1eebd4c0709b22e35edd', 'width': 160}], 'name': 'ENHYPEN', 'popularity': 73, 'type': 'artist', 'uri': 'spotify:artist:5t5FqBwTcgKTaWmfEbwQY9'}",ENHYPEN,73,"['anime', 'k-pop boy group']",DIMENSION : ANSWER,81,"[{'danceability': 0.738, 'energy': 0.67, 'key': 7, 'loudness': -3.766, 'mode': 0, 'speechiness': 0.0439, 'acousticness': 0.458, 'instrumentalness': 0, 'liveness': 0.361, 'valence': 0.651, 'tempo': 138.055, 'type': 'audio_features', 'id': '5elW2CKSoqjYoJ32AGDxf1', 'uri': 'spotify:track:5elW2CKSoqjYoJ32AGDxf1', 'track_href': 'https://api.spotify.com/v1/tracks/5elW2CKSoqjYoJ32AGDxf1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5elW2CKSoqjYoJ32AGDxf1', 'duration_ms': 184602, 'time_signature': 4}]"
